pH,Temperature,Turbidity,Dissolved_Oxygen,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,158,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,162,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,158,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,161,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.2,150,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.2,156,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,160,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.2,158,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,164,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,153,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.2,157,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,154,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,160,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,156,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,157,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,148,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,142,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,152,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,145,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,145,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,159,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,146,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,149,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,154,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,146,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,152,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,148,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,146,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,151,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,145,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,144,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,143,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,139,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.2,139,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,134,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,142,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,133,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,138,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,145,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,137,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,134,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,134,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,138,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,129,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,132,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,124,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11.1,124,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,129,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,137,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,129,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,123,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,124,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,124,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,121,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,122,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,124,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,129,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,123,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,128,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,123,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,133,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,121,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,11,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,121,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,128,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,122,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,115,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,123,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.9,125,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,130,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,117,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,122,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,118,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,127,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,117,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,130,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,120,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,126,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,118,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.8,118,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,113,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,116,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,119,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,118,9.4,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,125,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,113,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,112,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,110,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,114,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,108,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,112,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,109,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.7,105,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,114,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,112,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,109,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,109,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,118,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,111,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,103,9.5,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,111,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,108,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.6,97.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,107,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,103,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,103,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,101,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,105,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,104,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,102,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.5,104,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,97.5,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,103,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,108,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,100,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,97.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,96.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,94.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,97.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,91.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,90.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,94.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,97.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,91.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,94.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,95.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,95.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,90,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,88.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,89.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,90.5,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,96.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,91.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,87.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,92.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,92.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,94.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,86.1,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,85.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,85.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,87.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,88.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,92.1,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,83.5,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,91.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,89.5,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,88.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,81.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,81.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,83.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,87.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,79.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,81.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,86.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,84.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,78.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,83.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,86.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.4,85.1,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,82.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,76.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,78,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,82,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,80.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,78.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,79.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,74.1,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,76.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,81.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,82.1,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,80,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,77.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,81.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,74.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.7,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,75.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,74,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,73.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,72.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,10.3,80.2,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,79.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.5,10.3,76.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,10.3,71.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,70.9,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,76.3,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,75,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,70.6,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,73.1,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,74.6,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,68.4,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,73.5,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,69.8,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,72.7,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,70.6,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,71,9.7,,,,,,,,,,,,,,,,,,,,,,
7.5,10.2,64.8,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,73.2,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,68.9,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,69,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,68.1,9.7,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,69.8,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,67.4,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,64.5,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,71.3,9.8,,,,,,,,,,,,,,,,,,,,,,
7.5,10.1,65.3,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,70.1,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,67.3,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,67.5,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,67.4,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,69.9,9.8,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,68.7,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,71.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,65.7,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,63.6,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,65,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,64,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,68.8,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,66.3,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,65.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,68.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,63.6,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,62.6,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,68.9,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,67.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,62.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,66.4,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,63.6,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,70.1,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,65.5,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,63,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,63,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10,63.6,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,63,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,64.5,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,68.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.8,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,68,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,60.3,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,63.1,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,66,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,63.3,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,66.4,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,62.8,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,63.5,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,64.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,60.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,60.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.2,9.9,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,60.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,58,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,62.2,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,57.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,62,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,60.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,59.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,57.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.1,61.2,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,60.2,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.8,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,60.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.5,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,58,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.8,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,56.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.8,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,54.8,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,60.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,55.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,55.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,56,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,54.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,54.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,59.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,55.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,52,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,57.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,55.2,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,54.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.4,10.1,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,55.3,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.2,10.1,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,56.4,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.1,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,54.9,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.2,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,52.8,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,52.7,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.6,10,,,,,,,,,,,,,,,,,,,,,,
7.6,10.2,53.4,10,,,,,,,,,,,,,,,,,,,,,,
